#	单字
保	baa
趵	bab
报	bad
抱	bada
苞	bae
薄	baea
葆	baeb
鸨	baf
宝	bah
鲍	baj
爆	bak
煲	baka
炮	bakb
豹	bal
雹	ban
瀑	bana
剥	bao
刨	baoa
堡	baq
饱	bar
褓	bas
胞	bat
龅	bata
褒	bau
孢	baua
暴	baw
曝	bawa
包	baz
标	bce
杓	bcea
髟	bcf
鳔	bcj
骠	bcl
婊	bcm
瘭	bcp
镖	bcq
镳	bcqa
裱	bcs
勺	bcsa
膘	bct
表	bcv
飙	bcw
飑	bcwa
飚	bcwb
彪	bcx
北	bda
倍	bdaa
备	bdb
辈	bdc
杯	bde
蓓	bdea
萆	bdeb
鹎	bdf
贝	bdj
悲	bdk
悖	bdka
焙	bdkb
惫	bdkc
狈	bdl
碑	bdq
碚	bdqa
钡	bdqb
埤	bdqc
陂	bdqd
鐾	bdqe
呗	bdr
被	bds
褙	bdsa
背	bdt
臂	bdta
鞴	bdtb
孛	bdu
卑	bdx
邶	bdy
伴	bja
般	bjc
舨	bjca
扳	bjd
搬	bjda
扮	bjdb
拌	bjdc
板	bje
办	bji
瓣	bjia
半	bjn
版	bjp
瘢	bjpa
癍	bjpb
班	bjq
斑	bjqa
坂	bjqb
钣	bjqc
阪	bjqd
绊	bjs
颁	bju
便	bma
边	bmb
遍	bmba
匾	bmc
变	bmd
弁	bmda
苄	bme
笾	bmea
扁	bmh
窆	bmha
辨	bmi
辩	bmia
辫	bmib
贬	bmj
蝙	bmja
鳊	bmjb
忭	bmk
煸	bmka
汴	bmn
砭	bmq
碥	bmqa
编	bms
褊	bmsa
缏	bmsb
鞭	bmt
卞	bmx
奔	boa
夯	boaa
蹦	bob
迸	boba
本	boe
笨	boea
苯	boeb
甏	bog
蚌	boj
贲	boja
泵	boq
崩	boqa
锛	boqb
坌	boqc
嘣	bor
绷	bos
甭	bov
畚	boy
傧	bpa
摒	bpd
摈	bpda
柄	bpe
彬	bpea
槟	bpeb
鬓	bpf
宾	bph
炳	bpk
豳	bpl
并	bpn
冰	bpna
兵	bpnb
滨	bpnc
濒	bpnd
病	bpp
禀	bppa
镔	bpq
玢	bpqa
饼	bpr
缤	bps
膑	bpt
秉	bpv
丙	bpva
斌	bpx
邴	bpy
殡	bpz
屏	bpza
髌	bpzb
爸	bqa
跋	bqb
把	bqd
扒	bqda
捌	bqdb
拔	bqdc
笆	bqe
粑	bqea
芭	bqeb
茇	bqec
菝	bqed
耙	bqi
鲅	bqj
八	bqn
霸	bqna
灞	bqnb
疤	bqp
坝	bqq
钯	bqqa
岜	bqqb
吧	bqr
叭	bqra
罢	bqs
靶	bqt
魃	bqu
巴	bqv
比	bra
匕	braa
俾	brab
吡	brac
毕	brad
毖	brae
毙	braf
逼	brb
彼	brba
跸	brbb
避	brbc
舭	brc
弊	brd
拂	brda
笔	bre
秕	brea
荸	breb
筚	brec
箅	bred
蔽	bree
篦	bref
薜	breg
秘	breh
芘	brei
荜	brej
萆	brek
蓖	brel
闭	brh
庇	brha
庳	brhb
辟	bri
贲	brj
愎	brk
狴	brl
婢	brm
妣	brma
嬖	brmb
必	brn
泌	brna
濞	brnb
滗	brnc
敝	brp
痹	brpa
弼	brpb
碧	brq
壁	brqa
璧	brqb
陛	brqc
铋	brqd
埤	brqe
哔	brr
襞	brs
裨	brsa
鼻	brt
臂	brta
币	brv
鄙	bry
畀	brya
髀	brz
步	btb
逋	btbb
捕	btd
簿	bte
瓿	btg
醭	btga
怖	btk
堡	btq
埠	btqa
钸	btqb
