# 声笔飞码单字词库 fime 格式，fime 测试用
# 非原版声笔飞码词库，由 QQ 用户上传
# 大写的 AEIOU 是为了让它们的排序更靠前一些
不	b
边	bA
把	bE
别	bI
部	bO
白	bU
并	bb
包	bbA
郥	bbAI
疤	bbAI
髲	bbAU
貱	bbAU
病	bbE
疪	bbEA
癍	bbEE
髩	bbEI
贲	bbEI
賁	bbEI
瘭	bbEI
枈	bbEI
坒	bbEI
並	bbEI
毕	bbEI
贆	bbEU
毙	bbEU
帛	bbI
赑	bbIA
贔	bbIA
痹	bbIA
鬓	bbO
毖	bbOA
癝	bbOE
鬢	bbOO
粊	bbOU
兵	bbU
皀	bbUA
痭	bbUA
疕	bbUA
匂	bbUA
敗	bbUE
败	bbUE
鳪	bbUI
魄	bbUI
鬂	bbUI
賲	bbUI
癟	bbUI
痺	bbUI
瘪	bbUI
貶	bbUO
勽	bbUO
贬	bbUO
瘢	bbUU
辈	bc
彼	bcA
螁	bcAE
蘗	bcAE
薜	bcAE
蚆	bcAI
芭	bcAI
蚾	bcAU
蚌	bcE
蜌	bcEA
蚍	bcEA
芘	bcEA
荜	bcEA
菶	bcEE
蜯	bcEE
蛃	bcEI
蕔	bcEI
蔈	bcEI
葧	bcEI
菢	bcEI
菝	bcEI
荸	bcEI
苪	bcEI
苯	bcEI
軷	bcEU
蛂	bcEU
茇	bcEU
蔑	bcI
藣	bcIA
蓽	bcIA
萞	bcIA
菎	bcIA
莂	bcIA
忁	bcIA
蛽	bcIA
輩	bcIE
軰	bcIE
苝	bcIE
荹	bcIE
轐	bcII
薄	bcO
萹	bcOA
苾	bcOA
徧	bcOA
蝙	bcOA
藨	bcOE
蔀	bcOE
苄	bcOE
蒡	bcOE
蠙	bcOO
蔢	bcOO
萡	bcOO
菠	bcOO
蟞	bcOU
徶	bcOU
蔽	bcOU
蓓	bcU
龅	bcUA
齙	bcUA
蔔	bcUA
苞	bcUA
藊	bcUE
薭	bcUE
蝂	bcUI
藵	bcUI
蓖	bcUI
萆	bcUI
苩	bcUI
葆	bcUI
螌	bcUU
半	bd
波	bdA
夿	bdAI
夯	bdAU
奔	bdE
沘	bdEA
癷	bdEE
幷	bdEE
湢	bdEI
湐	bdEI
浡	bdEI
泍	bdEI
渤	bdEI
灞	bdEO
渀	bdEU
夶	bdEU
疒	bdEU
冰	bdI
滭	bdIA
奰	bdIA
瀑	bdIA
瀕	bdIE
滮	bdIE
淲	bdIE
濒	bdIE
滨	bdO
泌	bdOA
瀌	bdOE
殕	bdOE
汴	bdOE
濵	bdOO
濱	bdOO
殯	bdOO
殡	bdOO
龞	bdOU
洴	bdOU
湴	bdOU
泊	bdU
潷	bdUE
滗	bdUE
鄨	bdUI
豍	bdUI
濞	bdUI
斃	bdUI
浜	bdUI
汃	bdUO
丷	bdUU
汳	bdUU
报	bf
爸	bfA
拂	bfAE
摒	bfAE
撥	bfAO
撪	bfAO
拨	bfAU
捕	bfE
拝	bfEE
挷	bfEE
缽	bfEI
摽	bfEI
挬	bfEI
抦	bfEI
搏	bfEI
飙	bfEU
飇	bfEU
飆	bfEU
颰	bfEU
揼	bfEU
捹	bfEU
抜	bfEU
拔	bfEU
摆	bfI
擺	bfIA
捌	bfIA
捗	bfIE
揹	bfIE
拌	bfO
揙	bfOA
搒	bfOE
抃	bfOE
擯	bfOO
摈	bfOO
飊	bfOU
飈	bfOU
颷	bfOU
飚	bfOU
播	bfU
飑	bfUA
颮	bfUA
掤	bfUA
抱	bfUA
捠	bfUI
捭	bfUI
扒	bfUO
扮	bfUO
颩	bfUU
挀	bfUU
扳	bfUU
搬	bfUU
宝	bg
靶	bgA
廦	bgAE
賔	bgAI
弝	bgAI
寎	bgAI
鞁	bgAU
巭	bgAU
骳	bgAU
庇	bgE
寶	bgEE
寳	bgEE
寚	bgEE
髆	bgEI
鞤	bgEI
鞆	bgEI
賓	bgEI
弻	bgEI
庯	bgEI
鞴	bgEI
魃	bgEU
弼	bgEU
彃	bgI
鞸	bgIA
魓	bgIA
髌	bgO
髉	bgOA
髈	bgOE
鞛	bgOE
廍	bgOE
髕	bgOO
彆	bgOU
庰	bgOU
靽	bgOU
宾	bgU
骲	bgUA
鞄	bgUA
瓟	bgUA
弸	bgUA
瓝	bgUA
鵖	bgUI
髀	bgUI
鞞	bgUI
庳	bgUI
鞭	bgUI
庍	bgUU
比	bh
炳	bhE
秕	bhEA
稫	bhEI
熛	bhEI
煏	bhEI
煿	bhEI
炦	bhEU
秡	bhEU
爆	bhI
馞	bhIA
馝	bhIA
馛	bhIA
熚	bhIA
丙	bhIA
扁	bhIA
髟	bhIE
秘	bhO
稨	bhOA
煸	bhOA
穮	bhOE
稖	bhOE
炞	bhOE
焙	bhOE
秚	bhOU
百	bhU
炮	bhUA
皕	bhUI
爂	bhUI
煲	bhUI
稗	bhUI
布	bj
钯	bjA
鐴	bjAE
鐾	bjAE
鈀	bjAI
紦	bjAI
紴	bjAU
帮	bjE
錶	bjEE
綁	bjEE
幚	bjEE
绑	bjEE
镈	bjEI
钵	bjEI
鑮	bjEI
鏢	bjEI
鏄	bjEI
鎛	bjEI
鋍	bjEI
鉢	bjEI
鈵	bjEI
幫	bjEI
幖	bjEI
幇	bjEI
镖	bjEI
锛	bjEU
钸	bjEU
钚	bjEU
錛	bjEU
鈽	bjEU
鈸	bjEU
鈈	bjEU
觱	bjEU
絔	bjEU
帗	bjEU
钹	bjEU
钡	bjI
鑤	bjIA
鏰	bjIA
鏎	bjIA
鋇	bjIA
覵	bjIA
繃	bjIA
縪	bjIA
镚	bjIA
