# 预设词典：参考 https://gitee.com/hades001/rime-aurora-pinyin.git
# text	weight
公司	427794
我们	403542
一个	377343
自己	355752
信息	337852
中国	337254
没有	295601
可以	273613
时间	261160
服务	221256
工作	211451
什么	210601
我的	210540
北京	210396
产品	193983
播放	184822
更多	181976
就是	178630
企业	170881
管理	167937
有限	164898
这个	163507
不是	162405
列表	156370
个人	155870
他们	155823
上海	153958
添加	153579
评论	153014
知道	152687
时候	151868
生活	149720
因为	147658
市场	147219
有限公司	143592
发布	142600
技术	140534
问题	139701
相关	138931
新闻	137953
还是	137345
二手	136798
首页	136613
现在	134977
已经	134544
发展	133526
查看	132492
如果	128781
研究	127967
这样	126613
的人	125834
推荐	125000
播放列表	124954
设计	123429
世界	121499
价格	120375
其他	118944
手机	118657
联系	116751
收藏	116344
阅读	116257
经济	113825
第一	113393
是一	111911
所有	110516
朋友	110444
中心	109973
教育	109756
论坛	108790
电话	108499
招聘	108191
游戏	107762
你的	107585
喜欢	107088
提供	106057
开始	105894
系统	104456
注册	104328
的时候	102699
下载	101940
进行	101250
怎么	101118
网站	99830
发表	99425
活动	98631
大学	97853
使用	96363
了一	95990
可能	95930
网络	95467
专业	94641
小时	93852
学生	93274
关于	92685
博客	92275
选择	91317
培训	90733
不能	90236
社会	89735
图片	89298
用户	89137
国际	88674
需要	88034
视频	87974
工程	87848
音乐	87610
都是	87366
最后	86432
汽车	86301
分类	86093
最新	85872
不会	85141
也不	84712
免费	84055
国家	83846
但是	83824
城市	83142
作者	82355
电子	80415
很多	79730
资料	78690
所以	78448
觉得	78308
大家	77854
一种	77694
供应	77241
的是	76639
那么	76589
真的	76179
还有	76119
他的	75857
感觉	75733
只是	75556
方式	75515
电脑	75224
广州	75193
中的	75040
在线	74997
一次	74903
软件	74576
广告	73849
一些	73432
美国	73375
也是	73193
投资	73063
深圳	72773
全部	72710
一起	72576
文化	72557
这些	72353
回复	72266
希望	71880
主要	71503
文章	71466
孩子	71265
分析	71086
安全	70688
生产	70578
设备	70199
起来	70169
一定	70065
一样	69967
支持	69684
科技	69669
通过	69646
品牌	69460
看到	69319
数据	69299
女人	69085
登录	68949
学习	68880
一直	68857
今天	68739
要求	68728
发现	68300
电影	68285
项目	68147
如何	67662
销售	67636
搜索	67494
建设	67131
比较	66765
不要	65840
内容	65593
情况	65563
上的	65360
电视	65354
应该	65277
不过	64949
人民	64550
空间	64525
成为	64273
学校	63696
出现	63574
详细	63310
旅游	62682
虽然	62492
报价	62418
地区	62314
介绍	61936
政府	61601
是不	61534
方法	60992
地方	60974
全国	60911
重要	60855
东西	60625
重庆	60292
开发	59998
出来	59851
功能	59559
为了	59543
不知道	59494
频道	59358
人员	59108
影响	59078
图书	59036
行业	58975
第二	58327
查询	58176
系列	57752
