# 简体中文常用单字：GB2312 +《通用规范汉字表》+ 增补
#	GB 2312
啊	0x554a
阿	0x963f
埃	0x57c3
挨	0x6328
哎	0x54ce
唉	0x5509
哀	0x54c0
皑	0x7691
癌	0x764c
蔼	0x853c
矮	0x77ee
艾	0x827e
碍	0x788d
爱	0x7231
隘	0x9698
鞍	0x978d
氨	0x6c28
安	0x5b89
俺	0x4ffa
按	0x6309
暗	0x6697
岸	0x5cb8
胺	0x80fa
案	0x6848
肮	0x80ae
昂	0x6602
盎	0x76ce
凹	0x51f9
敖	0x6556
熬	0x71ac
翱	0x7ff1
袄	0x8884
傲	0x50b2
奥	0x5965
懊	0x61ca
澳	0x6fb3
芭	0x82ad
捌	0x634c
扒	0x6252
叭	0x53ed
吧	0x5427
笆	0x7b06
八	0x516b
疤	0x75a4
巴	0x5df4
拔	0x62d4
跋	0x8dcb
靶	0x9776
把	0x628a
耙	0x8019
坝	0x575d
霸	0x9738
罢	0x7f62
爸	0x7238
白	0x767d
柏	0x67cf
百	0x767e
摆	0x6446
佰	0x4f70
败	0x8d25
拜	0x62dc
稗	0x7a17
斑	0x6591
班	0x73ed
搬	0x642c
扳	0x6273
般	0x822c
颁	0x9881
板	0x677f
版	0x7248
扮	0x626e
拌	0x62cc
伴	0x4f34
瓣	0x74e3
半	0x534a
办	0x529e
绊	0x7eca
邦	0x90a6
帮	0x5e2e
梆	0x6886
榜	0x699c
膀	0x8180
绑	0x7ed1
棒	0x68d2
磅	0x78c5
蚌	0x868c
镑	0x9551
傍	0x508d
谤	0x8c24
苞	0x82de
胞	0x80de
包	0x5305
褒	0x8912
剥	0x5265
薄	0x8584
雹	0x96f9
保	0x4fdd
堡	0x5821
饱	0x9971
宝	0x5b9d
抱	0x62b1
报	0x62a5
暴	0x66b4
豹	0x8c79
鲍	0x9c8d
爆	0x7206
杯	0x676f
碑	0x7891
悲	0x60b2
卑	0x5351
北	0x5317
辈	0x8f88
背	0x80cc
贝	0x8d1d
钡	0x94a1
倍	0x500d
狈	0x72c8
备	0x5907
惫	0x60eb
焙	0x7119
被	0x88ab
奔	0x5954
苯	0x82ef
本	0x672c
笨	0x7b28
崩	0x5d29
绷	0x7ef7
甭	0x752d
泵	0x6cf5
蹦	0x8e66
迸	0x8ff8
逼	0x903c
鼻	0x9f3b
比	0x6bd4
鄙	0x9119
笔	0x7b14
彼	0x5f7c
碧	0x78a7
蓖	0x84d6
蔽	0x853d
毕	0x6bd5
毙	0x6bd9
毖	0x6bd6
币	0x5e01
庇	0x5e87
痹	0x75f9
闭	0x95ed
敝	0x655d
弊	0x5f0a
必	0x5fc5
辟	0x8f9f
壁	0x58c1
臂	0x81c2
避	0x907f
陛	0x965b
鞭	0x97ad
边	0x8fb9
编	0x7f16
贬	0x8d2c
扁	0x6241
便	0x4fbf
变	0x53d8
卞	0x535e
辨	0x8fa8
辩	0x8fa9
辫	0x8fab
遍	0x904d
标	0x6807
彪	0x5f6a
膘	0x8198
表	0x8868
鳖	0x9cd6
憋	0x618b
别	0x522b
瘪	0x762a
彬	0x5f6c
斌	0x658c
濒	0x6fd2
滨	0x6ee8
宾	0x5bbe
摈	0x6448
兵	0x5175
冰	0x51b0
柄	0x67c4
丙	0x4e19
秉	0x79c9
饼	0x997c
炳	0x70b3
病	0x75c5
并	0x5e76
玻	0x73bb
菠	0x83e0
播	0x64ad
拨	0x62e8
钵	0x94b5
波	0x6ce2
博	0x535a
勃	0x52c3
搏	0x640f
铂	0x94c2
箔	0x7b94
伯	0x4f2f
帛	0x5e1b
舶	0x8236
脖	0x8116
膊	0x818a
渤	0x6e24
泊	0x6cca
驳	0x9a73
捕	0x6355
卜	0x535c
哺	0x54fa
补	0x8865
埠	0x57e0
不	0x4e0d
布	0x5e03
步	0x6b65
簿	0x7c3f
部	0x90e8
怖	0x6016
擦	0x64e6
猜	0x731c
裁	0x88c1
材	0x6750
才	0x624d
财	0x8d22
睬	0x776c
踩	0x8e29
采	0x91c7
彩	0x5f69
菜	0x83dc
蔡	0x8521
餐	0x9910
参	0x53c2
蚕	0x8695
残	0x6b8b
惭	0x60ed
惨	0x60e8
灿	0x707f
苍	0x82cd
舱	0x8231
仓	0x4ed3
沧	0x6ca7
藏	0x85cf
操	0x64cd
糙	0x7cd9
槽	0x69fd
曹	0x66f9
草	0x8349
厕	0x5395
策	0x7b56
侧	0x4fa7
册	0x518c
测	0x6d4b
层	0x5c42
蹭	0x8e6d
插	0x63d2
叉	0x53c9
茬	0x832c
茶	0x8336
查	0x67e5
碴	0x78b4
搽	0x643d
察	0x5bdf
岔	0x5c94
差	0x5dee
诧	0x8be7
拆	0x62c6
柴	0x67f4
豺	0x8c7a
搀	0x6400
掺	0x63ba
蝉	0x8749
馋	0x998b
谗	0x8c17
缠	0x7f20
铲	0x94f2
产	0x4ea7
阐	0x9610
颤	0x98a4
昌	0x660c
猖	0x7316
场	0x573a
尝	0x5c1d
常	0x5e38
长	0x957f
偿	0x507f
肠	0x80a0
厂	0x5382
敞	0x655e
畅	0x7545
唱	0x5531
倡	0x5021
超	0x8d85
抄	0x6284
钞	0x949e
朝	0x671d
嘲	0x5632
潮	0x6f6e
巢	0x5de2
吵	0x5435
炒	0x7092
车	0x8f66
扯	0x626f
撤	0x64a4
掣	0x63a3
彻	0x5f7b
澈	0x6f88
郴	0x90f4
臣	0x81e3
辰	0x8fb0
尘	0x5c18
晨	0x6668
忱	0x5ff1
沉	0x6c89
陈	0x9648
趁	0x8d81
衬	0x886c
撑	0x6491
称	0x79f0
城	0x57ce
橙	0x6a59
成	0x6210
呈	0x5448
乘	0x4e58
程	0x7a0b
惩	0x60e9
澄	0x6f84
诚	0x8bda
承	0x627f
逞	0x901e
骋	0x9a8b
秤	0x79e4
吃	0x5403
痴	0x75f4
持	0x6301
匙	0x5319
池	0x6c60
迟	0x8fdf
弛	0x5f1b
驰	0x9a70
耻	0x803b
齿	0x9f7f
侈	0x4f88
尺	0x5c3a
赤	0x8d64
翅	0x7fc5
斥	0x65a5
炽	0x70bd
充	0x5145
冲	0x51b2
虫	0x866b
崇	0x5d07
宠	0x5ba0
抽	0x62bd
酬	0x916c
畴	0x7574
踌	0x8e0c
稠	0x7a20
愁	0x6101
筹	0x7b79
仇	0x4ec7
绸	0x7ef8
瞅	0x7785
丑	0x4e11
臭	0x81ed
初	0x521d
出	0x51fa
橱	0x6a71
厨	0x53a8
躇	0x8e87
锄	0x9504
雏	0x96cf
滁	0x6ec1
除	0x9664
楚	0x695a
础	0x7840
储	0x50a8
矗	0x77d7
搐	0x6410
触	0x89e6
处	0x5904
揣	0x63e3
川	0x5ddd
穿	0x7a7f
椽	0x693d
传	0x4f20
船	0x8239
喘	0x5598
串	0x4e32
疮	0x75ae
窗	0x7a97
幢	0x5e62
床	0x5e8a
闯	0x95ef
创	0x521b
吹	0x5439
炊	0x708a
捶	0x6376
锤	0x9524
垂	0x5782
春	0x6625
椿	0x693f
醇	0x9187
唇	0x5507
淳	0x6df3
纯	0x7eaf
蠢	0x8822
戳	0x6233
绰	0x7ef0
疵	0x75b5
茨	0x8328
磁	0x78c1
雌	0x96cc
辞	0x8f9e
慈	0x6148
瓷	0x74f7
词	0x8bcd
此	0x6b64
刺	0x523a
赐	0x8d50
次	0x6b21
聪	0x806a
葱	0x8471
囱	0x56f1
匆	0x5306
从	0x4ece
丛	0x4e1b
凑	0x51d1
粗	0x7c97
醋	0x918b
簇	0x7c07
促	0x4fc3
蹿	0x8e7f
篡	0x7be1
窜	0x7a9c
摧	0x6467
崔	0x5d14
催	0x50ac
脆	0x8106
瘁	0x7601
粹	0x7cb9
淬	0x6dec
翠	0x7fe0
村	0x6751
存	0x5b58
寸	0x5bf8
磋	0x78cb
撮	0x64ae
搓	0x6413
措	0x63aa
挫	0x632b
错	0x9519
搭	0x642d
达	0x8fbe
答	0x7b54
瘩	0x7629
打	0x6253
大	0x5927
呆	0x5446
歹	0x6b79
傣	0x50a3
戴	0x6234
带	0x5e26
殆	0x6b86
代	0x4ee3
贷	0x8d37
袋	0x888b
待	0x5f85
逮	0x902e
怠	0x6020
耽	0x803d
担	0x62c5
丹	0x4e39
单	0x5355
郸	0x90f8
掸	0x63b8
胆	0x80c6
旦	0x65e6
氮	0x6c2e
但	0x4f46
惮	0x60ee
淡	0x6de1
诞	0x8bde
弹	0x5f39
蛋	0x86cb
当	0x5f53
挡	0x6321
党	0x515a
荡	0x8361
档	0x6863
刀	0x5200
捣	0x6363
蹈	0x8e48
倒	0x5012
岛	0x5c9b
祷	0x7977
导	0x5bfc
到	0x5230
稻	0x7a3b
悼	0x60bc
道	0x9053
盗	0x76d7
德	0x5fb7
得	0x5f97
的	0x7684
蹬	0x8e6c
灯	0x706f
登	0x767b
等	0x7b49
瞪	0x77aa
凳	0x51f3
邓	0x9093
堤	0x5824
低	0x4f4e
滴	0x6ef4
迪	0x8fea
敌	0x654c
笛	0x7b1b
狄	0x72c4
涤	0x6da4
翟	0x7fdf
嫡	0x5ae1
抵	0x62b5
底	0x5e95
地	0x5730
蒂	0x8482
第	0x7b2c
帝	0x5e1d
弟	0x5f1f
递	0x9012
缔	0x7f14
颠	0x98a0
掂	0x6382
滇	0x6ec7
碘	0x7898
点	0x70b9
典	0x5178
靛	0x975b
垫	0x57ab
电	0x7535
佃	0x4f43
甸	0x7538
店	0x5e97
惦	0x60e6
奠	0x5960
淀	0x6dc0
殿	0x6bbf
碉	0x7889
叼	0x53fc
雕	0x96d5
凋	0x51cb
刁	0x5201
掉	0x6389
吊	0x540a
钓	0x9493
调	0x8c03
跌	0x8dcc
爹	0x7239
碟	0x789f
蝶	0x8776
迭	0x8fed
谍	0x8c0d
叠	0x53e0
丁	0x4e01
盯	0x76ef
叮	0x53ee
钉	0x9489
顶	0x9876
鼎	0x9f0e
锭	0x952d
定	0x5b9a
订	0x8ba2
丢	0x4e22
东	0x4e1c
冬	0x51ac
董	0x8463
懂	0x61c2
动	0x52a8
栋	0x680b
侗	0x4f97
恫	0x606b
冻	0x51bb
洞	0x6d1e
兜	0x515c
抖	0x6296
斗	0x6597
陡	0x9661
豆	0x8c46
逗	0x9017
痘	0x75d8
都	0x90fd
督	0x7763
毒	0x6bd2
犊	0x728a
独	0x72ec
读	0x8bfb
堵	0x5835
睹	0x7779
赌	0x8d4c
杜	0x675c
镀	0x9540
肚	0x809a
度	0x5ea6
渡	0x6e21
妒	0x5992
端	0x7aef
短	0x77ed
锻	0x953b
段	0x6bb5
断	0x65ad
缎	0x7f0e
堆	0x5806
兑	0x5151
队	0x961f
对	0x5bf9
墩	0x58a9
吨	0x5428
蹲	0x8e72
敦	0x6566
顿	0x987f
囤	0x56e4
钝	0x949d
盾	0x76fe
遁	0x9041
掇	0x6387
哆	0x54c6
多	0x591a
夺	0x593a
垛	0x579b
躲	0x8eb2
朵	0x6735
跺	0x8dfa
舵	0x8235
剁	0x5241
惰	0x60f0
堕	0x5815
蛾	0x86fe
峨	0x5ce8
鹅	0x9e45
俄	0x4fc4
额	0x989d
讹	0x8bb9
娥	0x5a25
恶	0x6076
厄	0x5384
扼	0x627c
遏	0x904f
鄂	0x9102
饿	0x997f
恩	0x6069
而	0x800c
儿	0x513f
耳	0x8033
尔	0x5c14
饵	0x9975
洱	0x6d31
二	0x4e8c
贰	0x8d30
发	0x53d1
罚	0x7f5a
筏	0x7b4f
伐	0x4f10
乏	0x4e4f
阀	0x9600
法	0x6cd5
珐	0x73d0
藩	0x85e9
帆	0x5e06
番	0x756a
翻	0x7ffb
樊	0x6a0a
矾	0x77fe
钒	0x9492
繁	0x7e41
凡	0x51e1
烦	0x70e6
反	0x53cd
返	0x8fd4
范	0x8303
